id_estacion,linea,nombre_estacion,vestibulo,nombre_acceso,direccion
153,1,Pinar de Chamartín,Pinar de Chamartín,Ascensor,"C/ Arturo Soria, 330"
153,1,Pinar de Chamartín,Pinar de Chamartín,Arturo Soria,"C/ Arturo Soria, 330"
152,1,Bambú,Bambú,Ascensor,"C/ Bambú, frente al nº 14"
152,1,Bambú,Bambú,Bambú,"C/ Bambú, frente al nº 14"
151,1,Chamartín,ADIF - Cercanías y Larga Distancia,ADIF - Cercanías y Larga Distancia,Corredor andenes ADIF
151,1,Chamartín,Chamartín,RENFE,Corredor andenes RENFE
151,1,Chamartín,Chamartín,Ascensor,"Agustín de Foxa, s/n"
151,1,Chamartín,Chamartín,Chamartín,Vestíbulo Cercanías Renfe
101,1,Plaza de Castilla,Avenida de Asturias,Intercambiador,Límite Intercambiador/Metro
101,1,Plaza de Castilla,Bravo Murillo,Bravo Murillo,"Bravo Murillo, 377"
101,1,Plaza de Castilla,Castellana,Castellana,Fr. Dep. Canal Isabel II
101,1,Plaza de Castilla,Castellana,Ascensor,Plaza de Castilla esq. Paseo Castellana pares - acera del Canal de Isabel II
101,1,Plaza de Castilla,Plaza de Castilla,Ascensor,"Paseo de la Castellana, bulevar central"
101,1,Plaza de Castilla,Plaza de Castilla,Plaza de Castilla,Pº. Castellana bulevar central
101,1,Plaza de Castilla,Plaza de Castilla,Intercambiador Superficie,Intercambiador Superficie
101,1,Plaza de Castilla,Plaza de Castilla,Intercambiador Subterraneo,Interconexión con Intercambiador subterráneo
101,1,Plaza de Castilla,Plaza de Castilla,"Castellana, impares","Pº Castellana, 189 (junto a torres)"
102,1,Valdeacederas,Aníbal,Aníbal,"Bravo Murillo, 350"
102,1,Valdeacederas,Capitán Blanco Argibay,Capitán Blanco Argibay,"Bravo Murillo, 324"
103,1,Tetuán,Algodonales,Algodonales,"Bravo Murillo, 269"
103,1,Tetuán,General Margallo,General Margallo,"General Margallo, 2 (esq. Bravo Murillo)"
104,1,Estrecho,Fulgencio de Miguel,Fulgencio de Miguel,"Bravo Murillo, 205"
104,1,Estrecho,Fulgencio de Miguel,Manuel Luna,"Bravo Murillo, 194"
104,1,Estrecho,Juan de Olías,Juan de Olías,"Bravo Murillo, 172"
104,1,Estrecho,Juan de Olías,Navarra,"Bravo Murillo, 181"
105,1,Alvarado,Alvarado,"Bravo Murillo, pares","Bravo Murillo, 136"
105,1,Alvarado,Alvarado,"Bravo Murillo, impares","Bravo Murillo, 135"
106,1,Cuatro Caminos,Central,Ascensor exterior,Santa Engracia (semiesquina Bravo Murillo)
106,1,Cuatro Caminos,Central,"Reina Victoria, pares","Avda. Reina Victoria, 2"
106,1,Cuatro Caminos,Central,Bravo Murillo,"Bravo Murillo, 101 (esq. Gta. Cuatro Caminos)"
106,1,Cuatro Caminos,Central,Santa Engracia,"Santa Engracia, 168"
106,1,Cuatro Caminos,Central,"Reina Victoria, impares","Gta. Cuatro Caminos (esq. Reina Victoria, 1)"
106,1,Cuatro Caminos,Maudes,Maudes,"Maudes, 8"
107,1,Ríos Rosas,Bretón de los Herreros,Santa Engracia-Plaza Descubridor Diego de Ordás,"Santa Engracia, 127"
107,1,Ríos Rosas,Ríos Rosas,"Ríos Rosas, impares","Ríos Rosas, 19"
107,1,Ríos Rosas,Ríos Rosas,"Ríos Rosas, pares","Ríos Rosas, 22"
108,1,Iglesia,Eloy Gonzalo,"Eloy Gonzalo, impares","Eloy Gonzalo, 35"
108,1,Iglesia,Eloy Gonzalo,Ascensor. Acceso a línea 1 dirección Pinar de Chamartín,"Glorieta Pintor Sorolla, 1"
108,1,Iglesia,Eloy Gonzalo,"Eloy Gonzalo, pares","Eloy Gonzalo, 38"
108,1,Iglesia,Martínez Campos,Ascensor. Acceso a línea 1 dirección Valdecarros,"General Martínez Campos, 1 (esq C/ Santa Engracia)"
108,1,Iglesia,Martínez Campos,Santa Engracia,"Santa Engracia, 58"
108,1,Iglesia,Martínez Campos,General Martínez Campos,"General Martínez Campos, 1"
108,1,Iglesia,Sagunto,Sagunto,"Santa Engracia, 61"
109,1,Bilbao,Central,Manuela Malasaña (Malasaña/Fuencarral),"Gta. Bilbao, 7"
109,1,Bilbao,Central,Fuencarral,"Gta. Bilbao, 5 (semiesq. Fuencarral)"
109,1,Bilbao,Central,Luchana Ascensor,"Glorieta de Bilbao, 6"
109,1,Bilbao,Luchana,Trafalgar,"Luchana, 23"
109,1,Bilbao,Luchana,Francisco de Rojas,"Luchana, 22 (esq. Fco. de Rojas)"
109,1,Bilbao,Luchana,"Luchana, impares","Luchana, 21 (esq. Trafalgar pares)"
110,1,Tribunal,Barceló,Fuencarral,"Fuencarral, 78"
110,1,Tribunal,Barceló,Barceló-Ascensor,"Barceló, 2"
110,1,Tribunal,Fuencarral,Tribunal de Cuentas,"Fuencarral, 81"
111,1,Gran Vía,Antonio Palacios,Fuencarral,"Gran Vía, 28"
111,1,Gran Vía,Antonio Palacios,Montera-Ascensor,"Montera, 47"
111,1,Gran Vía,Antonio Palacios,Montera,"Montera, 48"
111,1,Gran Vía,Antonio Palacios,Gran Vía,"Gran Vía, 25"
111,1,Gran Vía,Renfe,Calle -Nivel -4,Escaleras nivel -4
111,1,Gran Vía,Renfe,Montera-Ascensor nivel - 4,"Montera, 47"
111,1,Gran Vía,Renfe,Cercanías,Límite Metro/Renfe en nivel - 4
112,1,Sol,Mayor,Ascensor,Puerta del Sol
112,1,Sol,Mayor,Mayor,"Pta. del Sol, s/n (esq. Mayor y Arenal)"
112,1,Sol,Preciados,Centro Comercial,Acceso directo al centro comercial
112,1,Sol,Preciados,Preciados,"Preciados, 3"
112,1,Sol,Puerta del Sol,Alcalá,"Puerta del Sol, 13"
112,1,Sol,Puerta del Sol,Carmen,"Puerta del Sol, 12"
112,1,Sol,Puerta del Sol,RENFE,Cúpula de RENFE y Ascensor
112,1,Sol,Puerta del Sol,Carretas,"Pta. del Sol, 7 (semiesq. Carretas)"
112,1,Sol,RENFE,RENFE,Intercambiador Nivel -1
113,1,Tirso de Molina,Conde de Romanones,Conde de Romanones,"Pza. Tirso de Molina, 14"
113,1,Tirso de Molina,Magdalena,Magdalena,"Pza. Tirso de Molina, 1"
114,1,Antón Martín,Antón Martín,Amor de Dios,"Amor de Dios, 14 (Esq. Atocha , 73)"
114,1,Antón Martín,Antón Martín,Magdalena,"Atocha, 48"
114,1,Antón Martín,Atocha,"Atocha, pares","Atocha, 76"
114,1,Antón Martín,Atocha,"Atocha, impares","Atocha, 83"
115,1,Estación del Arte,Atocha,Plaza del Emperador Carlos V,"Gta. Carlos V, 11"
115,1,Estación del Arte,Ministerio de Agricultura,Ministerio,"Pº Infanta Isabel, 1"
116,1,Atocha,Alfonso XII,Paseo Infanta Isabel,"Pº Infanta Isabel, 15"
116,1,Atocha,Alfonso XII,Alfonso XII,"Pº Infanta Isabel, impares / Esq. Alfonso XII, pares"
116,1,Atocha,Alfonso XII,Renfe,Vestíbulo Renfe
116,1,Atocha,Alfonso XII,Ascensor,Pº Infanta Isabel impares
116,1,Atocha,Renfe,Renfe,Renfe Cercanías
117,1,Menéndez Pelayo,Comercio,Comercio,"C. Comercio, 2"
117,1,Menéndez Pelayo,Comercio,Comercio-Ascensor. Acceso a línea 1 dirección Pinar de Chamartín,"C. Comercio, 2"
117,1,Menéndez Pelayo,Gutenberg,Gutenberg,"Gutenberg, 4"
117,1,Menéndez Pelayo,Menéndez Pelayo,"Menéndez Pelayo, impares","Avda. Menéndez Pelayo, 123"
117,1,Menéndez Pelayo,Menéndez Pelayo,Menéndez Pelayo-Ascensor. Acceso a línea 1 dirección Valdecarros.,"Avda. Menéndez Pelayo, 123"
117,1,Menéndez Pelayo,Menéndez Pelayo,"Menéndez Pelayo, pares","Avda. Menéndez Pelayo, 44"
118,1,Pacífico,Doctor Esquerdo,"Doctor Esquerdo, impares","Doctor Esquerdo, 219 (Semiesq. Avda. Ciudad de Barcelona)"
118,1,Pacífico,Doctor Esquerdo,"Doctor Esquerdo, pares","Doctor Esquerdo, 186 (Semiesq. Avda. Ciudad de Barcelona)"
118,1,Pacífico,Dr. Esquerdo - Línea 6 - Ascensor,Ascensor,"C/ Doctor Esquerdo, 219"
118,1,Pacífico,Sánchez Barcáiztegui,Sánchez Barcáiztegui,"Sánchez Barcáiztegui, 1"
119,1,Puente de Vallecas,Albufera,"Albufera, impares","Avda. Albufera, 9"
119,1,Puente de Vallecas,Albufera,"Albufera, pares","Avda. Albufera, 14"
119,1,Puente de Vallecas,Peña Prieta,Peña Prieta,"Peña Prieta, 2"
120,1,Nueva Numancia,Norte,"Avda. Albufera, pares","Avda. Albufera, 54"
120,1,Nueva Numancia,Norte,"Avda. Albufera, impares","Avda. Albufera, 47"
120,1,Nueva Numancia,Sur,"Avda. Albufera, pares","Avda. Albufera, 76"
120,1,Nueva Numancia,Sur,"Avda. Albufera, impares","Avda. Albufera, 69"
121,1,Portazgo,Albufera,"Albufera, pares","Avda. Albufera, 108 (Esq. Sierra del Cadi)"
121,1,Portazgo,Albufera,Rogelio Folgueras,"Avda. Albufera, 117 (Esq. R. Folgueras)"
121,1,Portazgo,Josefa Díaz/Ascensor,Ascensor 1. Acceso a línea 1 dirección Valdecarros,"Avenida Albufera, 125"
121,1,Portazgo,Palomeras,Teniente Muñoz Díaz,"Avda. Albufera, 130"
121,1,Portazgo,Palomeras,"Albufera, impares","Avda. Albufera, 145 (Esq. D. Folgueras)"
121,1,Portazgo,Payaso Fofó/Ascensor,Ascensor 2. Acceso a línea 1 dirección Pinar de Chamartín,"Avenida Albufera, 112"
123,1,Alto del Arenal,Buenos Aires,Pío Felipe,"Avda. Albufera, 179 (Esq. Pio Felipe)"
123,1,Alto del Arenal,Buenos Aires,Buenos Aires,"Avda. Albufera, 140 (Esq. Buenos Aires)"
122,1,Buenos Aires,Alto Arenal,"Albufera, pares","Avda. Albufera, 248"
122,1,Buenos Aires,Alto Arenal,Ascensor,"Avda. Albufera, 246"
122,1,Buenos Aires,Alto Arenal,"Albufera, impares","Santillana del Mar, 19 (Esq. Avda. Albufera)"
124,1,Miguel Hernández,Miguel Hernández,Rafael Alberti-Ambulatorio,"Avda. Albufera, 285 (Esq. Rafael Alberti)"
124,1,Miguel Hernández,Miguel Hernández,"Albufera, pares","Avda. Albufera, 290"
124,1,Miguel Hernández,Miguel Hernández,Aparcamiento,"Pasarela (Cañon Albufera, pares)"
124,1,Miguel Hernández,Miguel Hernández,Ascensor,"Avda. Albufera, 285"
124,1,Miguel Hernández,Miguel Hernández,Aparcamiento-nivel vestíbulo,Vestíbulo Miguel Hernández
125,1,Sierra de Guadalupe,Renfe,Avenida de la Democracia,"Avda. de la Democracia, 1"
125,1,Sierra de Guadalupe,Renfe,Sierra de Guadalupe,Estación de Renfe
125,1,Sierra de Guadalupe,Renfe,Ascensor,"Avda. de la Democracia, 3"
125,1,Sierra de Guadalupe,Renfe,Renfe,Vestíbulo Renfe
125,1,Sierra de Guadalupe,Universidad,Avda. de la Democracia-Arboleda,"Avda. de la Democracia, 4"
126,1,Villa de Vallecas,Villa de Vallecas,Sierra Vieja,"Pza. Sierra de Gador, 10 (Esq. Sierra Vieja)"
126,1,Villa de Vallecas,Villa de Vallecas,Ascensor,"Pº. Federico García Lorca, 1"
126,1,Villa de Vallecas,Villa de Vallecas,Pº. Federico García Lorca,"Pº. Federico García Lorca, 3"
127,1,Congosto,Congosto,Plaza de Congosto,"Congosto, 33"
127,1,Congosto,Congosto,Ascensor,"Congosto, 50"
127,1,Congosto,Congosto,Congosto,"Congosto, 35"
128,1,La Gavia,La Gavia,Avda. Ensanche de Vallecas,"Avda. Ensan. de Vallecas esq C/ Alto de la Sartenilla, 2"
128,1,La Gavia,La Gavia,Ascensor,"Avda. Ensan. de Vallecas esq C/ Alto de la Sartenilla, 2"
129,1,Las Suertes,Las Suertes,Cañada del Santísimo,"C/ Cañada del Santísimo esquina Avda. Ensanche de Vallecas, 80"
129,1,Las Suertes,Las Suertes,Ascensor,"C/ Cañada del Santísimo esquina Avda. Ensanche de Vallecas, 80"
130,1,Valdecarros,Valdecarros,Avda. Ensanche de Vallecas,Avda. Ensanche de Vallecas 120A esq. Avda. Gran Vía del Sureste
130,1,Valdecarros,Valdecarros,Ascensor,Avda. Ensanche de Vallecas 120A esq. Avda. Gran Vía del Sureste
1061,10,Hospital Infanta Sofía,Hospital Infanta Sofía,Ascensor,Avenida de Europa s/n SAN SEBASTIÁN DE LOS REYES
1061,10,Hospital Infanta Sofía,Hospital Infanta Sofía,Poeta Rafael Morales,C/ Poeta Rafael Morales s/n SAN SEBASTIÁN DE LOS REYES
1061,10,Hospital Infanta Sofía,Hospital Infanta Sofía,Hospital Infanta Sofía,Avenida de Europa s/n SAN SEBASTIÁN DE LOS REYES
1060,10,Reyes Católicos,Reyes Católicos,Ascensor,"Avda. Plaza de Toros, frente nº7 SAN SEBASTIÁN DE LOS REYES"
1060,10,Reyes Católicos,Reyes Católicos,Avda. Plaza de Toros,"Avda. Plaza de Toros, frente nº7 SAN SEBASTIÁN DE LOS REYES"
1059,10,Baunatal,Baunatal,Avda. Lomas del Rey,"Avda. Lomas del Rey nº1, esquina Avda de la Independencia SAN SEBASTIÁN DE LOS REYES"
1059,10,Baunatal,Baunatal,Ascensor,"Avda. Lomas del Rey nº1, esquina Avda de la Independencia SAN SEBASTIÁN DE LOS REYES"
1058,10,Manuel de Falla,Manuel de Falla,Ascensor,"C/ Manuel de Falla, frente al nº32 ALCOBENDAS"
1058,10,Manuel de Falla,Manuel de Falla,Manuel de Falla,"C/ Manuel de Falla, frente al nº32 ALCOBENDAS"
1057,10,Marqués de la Valdavia,Marqués de la Valdivia,Ascensor,C/ Marqués de la Valdavia nº21 ALCOBENDAS
1057,10,Marqués de la Valdavia,Marqués de la Valdivia,Marqués de la Valdivia,C/ Marqués de la Valdavia nº21 ALCOBENDAS
1057,10,Marqués de la Valdavia,Paseo de la Chopera,Paseo de la Chopera,"Paseo de la Chopera nº48, en el parque de Cataluña ALCOBENDAS"
1056,10,La Moraleja,La Moraleja,Avda. Bruselas,Avda. Bruselas nº14 ALCOBENDAS
1056,10,La Moraleja,La Moraleja,Ascensor,Avda. Bruselas nº14 ALCOBENDAS
1055,10,La Granja,La Granja,Ascensor,"C/ Sepúlveda 3, esquina C/ La Granja ALCOBENDAS"
1055,10,La Granja,La Granja,La Granja,"C/ Sepúlveda 3, esquina C/ La Granja ALCOBENDAS"
1054,10,Ronda de la Comunicación,Ronda de la Comunicación,Maestro Mateo,C/ Maestro Mateo s/n
1054,10,Ronda de la Comunicación,Ronda de la Comunicación,Ascensor,C/ Maestro Mateo s/n
1053,10,Las Tablas,Las Tablas,Palas de Rey,"Frente a C/ Palas de Rey, 38 (aprox: entre 30 y 48)"
1053,10,Las Tablas,Las Tablas,Arturo Soria,"Frente a C/ Palas de Rey, 38 (aprox: entre 30 y 48)"
1053,10,Las Tablas,Las Tablas,Ascensor,"Frente a C/ Palas de Rey, 38 (aprox: entre 30 y 48)"
1052,10,Montecarmelo,Montecarmelo,Ascensor,
1052,10,Montecarmelo,Montecarmelo,Avda. Monasterio de Silos,"Avda. Monasterio de Silos, 63"
1051,10,Tres Olivos,Tres Olivos,Retablo de Melisendra,"C/ Retablo de Melisendra, 1"
1001,10,Fuencarral,Fuencarral,Barrio Santa Ana,"Molinos del Rey, 4"
1002,10,Begoña,Begoña,San Modesto,"San Modesto, 10"
1002,10,Begoña,Begoña-Ascensor,Begoña - Ascensor,"Parque de Begoña (C. San Modesto, 4)"
1002,10,Begoña,Begoña-Ascensor,La Paz - Ascensor 2,"Hospital Universitario La Paz (Pº Castellana, 261)"
1002,10,Begoña,Begoña-Ascensor,La Paz - Ascensor 1,"Hospital Universitario La Paz (Pº Castellana, 261)"
1002,10,Begoña,La Paz,Hospital Universitario La Paz,"Hospital Universitario La Paz (Pº Castellana, 261 esq. C. Arzobispo Morcillo)"
151,10,Chamartín,ADIF - Cercanías y Larga Distancia,ADIF - Cercanías y Larga Distancia,Corredor andenes ADIF
151,10,Chamartín,Chamartín,RENFE,Corredor andenes RENFE
151,10,Chamartín,Chamartín,Ascensor,"Agustín de Foxa, s/n"
151,10,Chamartín,Chamartín,Chamartín,Vestíbulo Cercanías Renfe
101,10,Plaza de Castilla,Avenida de Asturias,Intercambiador,Límite Intercambiador/Metro
101,10,Plaza de Castilla,Bravo Murillo,Bravo Murillo,"Bravo Murillo, 377"
101,10,Plaza de Castilla,Castellana,Castellana,Fr. Dep. Canal Isabel II
101,10,Plaza de Castilla,Castellana,Ascensor,Plaza de Castilla esq. Paseo Castellana pares - acera del Canal de Isabel II
101,10,Plaza de Castilla,Plaza de Castilla,Ascensor,"Paseo de la Castellana, bulevar central"
101,10,Plaza de Castilla,Plaza de Castilla,Plaza de Castilla,Pº. Castellana bulevar central
101,10,Plaza de Castilla,Plaza de Castilla,Intercambiador Superficie,Intercambiador Superficie
101,10,Plaza de Castilla,Plaza de Castilla,Intercambiador Subterraneo,Interconexión con Intercambiador subterráneo
101,10,Plaza de Castilla,Plaza de Castilla,"Castellana, impares","Pº Castellana, 189 (junto a torres)"
1005,10,Cuzco,Cuzco,"Paseo Castellana, pares","Pº Castellana, bul.cen.162"
1005,10,Cuzco,Cuzco,"Paseo Castellana, impares","Pº Castellana, bul.cen.125"
1006,10,Santiago Bernabéu,Plaza de Lima,Pza. Lima. Acceso cerrado por obras de modernización,"Pº Castellana, 136 (bulevar central)"
1006,10,Santiago Bernabéu,Santiago Bernabéu,"Paseo Castellana, pares",Pº Castellana bulevar central frente estadio Santiago Bernabeu
1006,10,Santiago Bernabéu,Santiago Bernabéu,"Paseo Castellana, impares","Pº Castellana bulevar central, 103"
618,10,Nuevos Ministerios,Azca-Renfe,Azca-Cercanías-Ascensor 1,Entrada Corte Inglés
618,10,Nuevos Ministerios,Azca-Renfe,Centro Comercial,Entrada Corte Inglés
618,10,Nuevos Ministerios,Azca-Renfe,Azca-Cercanías-Ascensor 2,Entrada Corte Inglés
618,10,Nuevos Ministerios,Orense,Orense,"Orense, 2"
618,10,Nuevos Ministerios,Orense,Agustín de Bethancourt,"Agustín de Bethancourt, 25"
618,10,Nuevos Ministerios,Paseo de la Castellana,Renfe - Arcadas,"Nivel -1, limite entre Metro y los accesos de Renfe"
618,10,Nuevos Ministerios,Paseo de la Castellana,Renfe - Raimundo Fernández Villaverde,"Nivel -1, limite entre Metro y los accesos de Renfe"
618,10,Nuevos Ministerios,Paseo de la Castellana,Ascensor nº 5,"Pº de la Castellana, 67 en el bulevar"
618,10,Nuevos Ministerios,Paseo de la Castellana,"Pº de la Castellana, impares (bulevar)","Pº de la Castellana, 67 en el bulevar"
618,10,Nuevos Ministerios,Paseo de la Castellana,"Pº de la Castellana, pares","Pº de la Castellana,110. Esq. Joaquín Costa"
618,10,Nuevos Ministerios,Paseo de la Castellana,"Pº de la Castellana, impares",Pº de la Castellana esq. Raimundo Fdez. Villaverde
618,10,Nuevos Ministerios,Paseo de la Castellana,Ascensor nº 6,"Pº de la Castellana, 100"
618,10,Nuevos Ministerios,Paseo de la Castellana,"Pº de la Castellana, pares","Pº de la Castellana, 100"
618,10,Nuevos Ministerios,RENFE-Distribuidor,RENFE Cercanías,Nivel -2
711,10,Gregorio Marañón,Gregorio Marañón,Miguel Ángel,"Miguel Ángel, 33"
711,10,Gregorio Marañón,Gregorio Marañón,Ascensor,José Abascal (esq. Castellana)
711,10,Gregorio Marañón,Gregorio Marañón,José Abascal,José Abascal (esq. Castellana)
404,10,Alonso Martínez,Hermanos Álvarez Quintero,Hermanos Álvarez Quintero,"Sagasta, 30 (Esq. Álvarez Quintero)"
404,10,Alonso Martínez,Santa Bárbara,Santa Bárbara,"Pza. Santa Bárbara, 5"
404,10,Alonso Martínez,Santa Bárbara,Santa Engracia,"Pza. Alonso Martínez, 4 (Sta. Engracia, 4 - Almagro)"
404,10,Alonso Martínez,Santa Bárbara,"Génova, pares","Génova, 2 (Esq. Pza. A. Martínez)"
110,10,Tribunal,Barceló,Fuencarral,"Fuencarral, 78"
110,10,Tribunal,Barceló,Barceló-Ascensor,"Barceló, 2"
110,10,Tribunal,Fuencarral,Tribunal de Cuentas,"Fuencarral, 81"
308,10,Plaza de España,Conde de Toreno,Ascensor. Acceso a línea 10,Pza. Conde de Toreno
308,10,Plaza de España,Conde de Toreno,Ascensor. Acceso a línea 10,Pza. Conde de Toreno
308,10,Plaza de España,Leganitos,Gran Vía,"Gran Vía, 80"
308,10,Plaza de España,Leganitos,Leganitos,"Gran Vía, 73"
308,10,Plaza de España,Leganitos,Reyes,"Reyes, 1"
308,10,Plaza de España,Leganitos,Princesa,"Princesa, 2"
308,10,Plaza de España,Plaza de España,Plaza de España,"Plaza de España,18"
308,10,Plaza de España,Plaza de España,Ascensor. Acceso a línea 3,"Plaza de España, 18"
625,10,Príncipe Pío,Paseo de la Florida,Renfe,Puertas mamparas en nivel -1 a la izda de los torniquetes
625,10,Príncipe Pío,Paseo de la Florida,Ascensor,"Pº de la Florida, 2"
625,10,Príncipe Pío,Paseo de la Florida,Intercambiador,"Pº de la Florida, 2"
625,10,Príncipe Pío,Renfe,Renfe,Limites Metro/Renfe en el vestibulo mixto
1013,10,Lago,Lago,El Lago,Puerta del Ángel (piscina municipal Casa de Campo)
1014,10,Batán,Venta del Batán,Venta del Batán,Parque de Atracciones (Casa de Campo)
1014,10,Batán,Villamanín,Villamanin,"Villamanin, 27"
530,10,Casa de Campo,Casa de Campo,Ascensor,Camino de Campamento s/n (esq. Paseo de la Puerta del Batán)
530,10,Casa de Campo,Casa de Campo,Camino de Campamento s/n,Camino de Campamento s/n (esq. Paseo de la Puerta del Batán)
1016,10,Colonia Jardín,Arenas de San Pedro,Arenas de San Pedro,"esq. Ctra. Carabanchel-Aravaca, 56"
1016,10,Colonia Jardín,Fuentesaúco,Ascensor,"esq. Ctra. Carabanchel-Aravaca, 56"
1016,10,Colonia Jardín,Fuentesaúco,Sedano,"Fuentesaúco, 44"
1018,10,Aviación Española,Aviación Española,Fuente de Lima,"C/ Fuente de Lima, 2"
1018,10,Aviación Española,Aviación Española,Ascensor,"C/ Fuente de Lima, 2"
1019,10,Cuatro Vientos,Cuatro Vientos,Ascensor nº 2,"Pº de Extremadura, Km 9,500 dirección Madrid"
1019,10,Cuatro Vientos,Cuatro Vientos,Correspondencia Renfe,Nivel -1 a la altura de la cancela de Metro
1019,10,Cuatro Vientos,Cuatro Vientos,Ascensor nº 1,"Pº de los Húsares, 46. Colonia Dehesa del Príncipe"
1019,10,Cuatro Vientos,Cuatro Vientos,Pº de los Húsares,"Pº de los Húsares, 46"
1019,10,Cuatro Vientos,Cuatro Vientos,Pº de Extremadura,"Pº de Extremadura, Km 9,500 dirección Madrid"
1020,10,Joaquín Vilumbrales,Joaquín Vilumbrales,Ascensor,"Avenida de la Libertad, 29 (esquina c/ Carballino) ALCORCÓN"
1020,10,Joaquín Vilumbrales,Joaquín Vilumbrales,"Avenida de la Libertad, impares","Avenida de la Libertad, 29 (esquina c/ Carballino) ALCORCÓN"
1020,10,Joaquín Vilumbrales,Joaquín Vilumbrales,"Avenida de la Libertad, pares","Avenida de la Libertad, s/n (semiesquina c/ Parque Ordesa) ALCORCÓN"
1021,10,Puerta del Sur,Alcalde Joaquín Vilumbrales,Ascensor,Avenida de la Libertad ALCORCÓN
1021,10,Puerta del Sur,Alcalde Joaquín Vilumbrales,"Avenida de la Libertad, pares",Avenida de la Libertad esquina a Avda. de Leganés ALCORCÓN
1021,10,Puerta del Sur,Alcalde Joaquín Vilumbrales,"Avenida de la Libertad, impares",Avenida de la Libertad del 1 al 9 ALCORCÓN
1021,10,Puerta del Sur,Olímpico Francisco Fernández Ochoa,Olímpico Francisco Fernández Ochoa,"Olímpico Fernández Ochoa, esquina a Avda. de Leganés ALCORCÓN"
605,11,Plaza Elíptica,Marcelo Usera,"Marcelo Usera, pares","Marcelo Usera, 170"
605,11,Plaza Elíptica,Marcelo Usera,Marcelo Usera Ascensor,"Plaza Elíptica, esq. Marcelo Usera con Paseo de Santa María de la Cabeza"
605,11,Plaza Elíptica,Marcelo Usera,"Marcelo Usera, impares","Plaza Elíptica, 2 esq. Marcelo Usera"
605,11,Plaza Elíptica,Princesa Juana de Austria,Intercambiador,Avda. Princesa Juana de Austria
605,11,Plaza Elíptica,Vía Lusitana,Plaza Elíptica Ascensor. Acceso a línea 11,"Plaza Eliptica esq. Avda. Oporto, 2"
605,11,Plaza Elíptica,Vía Lusitana,Plaza Eíptica,"Plaza Elíptica esq. A. Leyva 88, 90, 92"
605,11,Plaza Elíptica,Vía Lusitana,"Avda. Oporto, pares","Avda. Oporto, 2"
1102,11,Abrantes,Abrantes,"Avenida de Abrantes, impares","Avda. Abrantes, 79"
1102,11,Abrantes,Abrantes,Ascensor,"Avda. Abrantes, 52 (esq. Papagayo y A.Mtez)"
1102,11,Abrantes,Abrantes,"Avenida de Abrantes, pares","Avda. Abrantes, 52 (esq. Papagayo y A.Mtez)"
1103,11,Pan Bendito,Pan Bendito,Ascensor,"Avda. de Abrantes, 122"
1103,11,Pan Bendito,Pan Bendito,"Avenida de Abrantes, pares - Besolla","Avda. Abrantes, 122 (esq. Besolla)"
1103,11,Pan Bendito,Pan Bendito,"Avenida de Abrantes, impares - Besolla","Avda. Abrantes, 289 (esq. Besolla)"
1104,11,San Francisco,San Francisco,"Avenida Los Poblados, pares","Avda. Los Poblados, 102"
